time_period,geographic_level,region_name,la_name,breakdown,characteristic_gender,characteristic_ethnic_major,characteristic_free_school_meals,characteristic_first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps
202122,Local authority,West Midlands,Walsall,First language,Girls,Total,Total,Other than English,18.0,324.0,16930.75,52.3,318.0,98.1,166.0,51.2,226.0,69.8,141.0,43.5,79.0,24.4,106.0,32.7,1488.21,4.59
202122,Local authority,West Midlands,Warwickshire,First language,Girls,Total,Total,English,41.0,2839.0,148202.26,52.2,2759.0,97.2,1556.0,54.8,2039.0,71.8,1082.0,38.1,688.0,24.2,871.0,30.7,12929.24,4.55
202122,Local authority,West Midlands,Warwickshire,First language,Girls,Total,Total,Other than English,34.0,238.0,13832.5,58.1,232.0,97.5,158.0,66.4,197.0,82.8,109.0,45.8,72.0,30.3,86.0,36.1,1241.69,5.22
202122,Local authority,West Midlands,Wolverhampton,First language,Girls,Total,Total,English,24.0,1208.0,61258.75,50.7,1181.0,97.8,583.0,48.3,811.0,67.1,353.0,29.2,192.0,15.9,252.0,20.9,5017.87,4.15
202122,Local authority,West Midlands,Wolverhampton,First language,Girls,Total,Total,Other than English,21.0,423.0,22730.0,53.7,422.0,99.8,234.0,55.3,316.0,74.7,199.0,47.0,84.0,19.9,124.0,29.3,1983.14,4.69
202122,Local authority,West Midlands,Worcestershire,First language,Girls,Total,Total,English,38.0,2659.0,133823.0,50.3,2572.0,96.7,1333.0,50.1,1871.0,70.4,1180.0,44.4,584.0,22.0,804.0,30.2,11671.7,4.39
202122,Local authority,West Midlands,Worcestershire,First language,Girls,Total,Total,Other than English,24.0,189.0,9825.38,52.0,186.0,98.4,97.0,51.3,132.0,69.8,83.0,43.9,42.0,22.2,57.0,30.2,859.32,4.55
202122,Local authority,East of England,Bedford,First language,Girls,Total,Total,English,16.0,817.0,40260.75,49.3,797.0,97.6,396.0,48.5,583.0,71.4,279.0,34.1,145.0,17.7,200.0,24.5,3428.4,4.2
202122,Local authority,East of England,Bedford,First language,Girls,Total,Total,Other than English,14.0,235.0,12077.0,51.4,231.0,98.3,106.0,45.1,166.0,70.6,113.0,48.1,52.0,22.1,71.0,30.2,1063.31,4.52
202122,Local authority,East of England,Cambridgeshire,First language,Girls,Total,Total,English,41.0,2512.0,138244.5,55.0,2454.0,97.7,1464.0,58.3,1931.0,76.9,1234.0,49.1,827.0,32.9,1022.0,40.7,12425.25,4.95
202122,Local authority,East of England,Cambridgeshire,First language,Girls,Total,Total,Other than English,32.0,329.0,18606.5,56.6,317.0,96.4,196.0,59.6,237.0,72.0,193.0,58.7,131.0,39.8,151.0,45.9,1717.33,5.22
202122,Local authority,East of England,Central Bedfordshire,First language,Girls,Total,Total,English,16.0,1305.0,64979.25,49.8,1269.0,97.2,643.0,49.3,927.0,71.0,424.0,32.5,214.0,16.4,284.0,21.8,5518.14,4.23
202122,Local authority,East of England,Central Bedfordshire,First language,Girls,Total,Total,Other than English,11.0,67.0,3280.25,49.0,65.0,97.0,30.0,44.8,48.0,71.6,40.0,59.7,16.0,23.9,30.0,44.8,301.68,4.5
202122,Local authority,East of England,Essex,First language,Girls,Total,Total,English,89.0,7062.0,353302.5,50.0,6857.0,97.1,3527.0,49.9,4924.0,69.7,2795.0,39.6,1589.0,22.5,2094.0,29.7,30599.25,4.33
202122,Local authority,East of England,Essex,First language,Girls,Total,Total,Other than English,71.0,476.0,26497.5,55.7,468.0,98.3,282.0,59.2,364.0,76.5,263.0,55.3,143.0,30.0,176.0,37.0,2413.01,5.07
202122,Local authority,East of England,Hertfordshire,First language,Girls,Total,Total,English,87.0,5825.0,324583.0,55.7,5691.0,97.7,3472.0,59.6,4522.0,77.6,2832.0,48.6,1790.0,30.7,2241.0,38.5,28720.78,4.93
202122,Local authority,East of England,Hertfordshire,First language,Girls,Total,Total,Other than English,80.0,880.0,51791.0,58.9,862.0,98.0,569.0,64.7,706.0,80.2,573.0,65.1,343.0,39.0,430.0,48.9,4763.24,5.41
202122,Local authority,East of England,Luton,First language,Girls,Total,Total,English,12.0,699.0,32354.5,46.3,686.0,98.1,303.0,43.3,437.0,62.5,204.0,29.2,109.0,15.6,147.0,21.0,2745.11,3.93
202122,Local authority,East of England,Luton,First language,Girls,Total,Total,Other than English,12.0,704.0,35971.5,51.1,687.0,97.6,383.0,54.4,502.0,71.3,351.0,49.9,175.0,24.9,230.0,32.7,3200.87,4.55
202122,Local authority,East of England,Norfolk,First language,Girls,Total,Total,English,62.0,3582.0,175941.0,49.1,3464.0,96.7,1775.0,49.6,2538.0,70.9,1585.0,44.2,793.0,22.1,1081.0,30.2,15505.28,4.33
202122,Local authority,East of England,Norfolk,First language,Girls,Total,Total,Other than English,50.0,352.0,17721.5,50.3,346.0,98.3,168.0,47.7,249.0,70.7,196.0,55.7,83.0,23.6,123.0,34.9,1592.11,4.52
202122,Local authority,East of England,Peterborough,First language,Girls,Total,Total,English,19.0,975.0,48881.5,50.1,948.0,97.2,474.0,48.6,691.0,70.9,255.0,26.2,143.0,14.7,196.0,20.1,4063.7,4.17
202122,Local authority,East of England,Peterborough,First language,Girls,Total,Total,Other than English,17.0,339.0,16306.5,48.1,329.0,97.1,145.0,42.8,223.0,65.8,89.0,26.3,46.0,13.6,63.0,18.6,1384.49,4.08
202122,Local authority,East of England,Southend-on-Sea,First language,Girls,Total,Total,English,13.0,950.0,55160.75,58.1,924.0,97.3,625.0,65.8,748.0,78.7,563.0,59.3,379.0,39.9,456.0,48.0,4944.53,5.2
202122,Local authority,East of England,Southend-on-Sea,First language,Girls,Total,Total,Other than English,9.0,123.0,7682.25,62.5,122.0,99.2,87.0,70.7,98.0,79.7,83.0,67.5,68.0,55.3,73.0,59.3,716.73,5.83
202122,Local authority,East of England,Suffolk,First language,Girls,Total,Total,English,52.0,3386.0,168768.25,49.8,3285.0,97.0,1689.0,49.9,2447.0,72.3,993.0,29.3,541.0,16.0,724.0,21.4,14329.99,4.23
202122,Local authority,East of England,Suffolk,First language,Girls,Total,Total,Other than English,40.0,258.0,12640.5,49.0,248.0,96.1,127.0,49.2,187.0,72.5,122.0,47.3,51.0,19.8,78.0,30.2,1122.03,4.35
202122,Local authority,East of England,Thurrock,First language,Girls,Total,Total,English,13.0,799.0,38268.0,47.9,782.0,97.9,379.0,47.4,549.0,68.7,348.0,43.6,174.0,21.8,230.0,28.8,3336.93,4.18
202122,Local authority,East of England,Thurrock,First language,Girls,Total,Total,Other than English,12.0,153.0,8566.75,56.0,152.0,99.3,91.0,59.5,127.0,83.0,103.0,67.3,54.0,35.3,82.0,53.6,794.3,5.19
202122,Local authority,Inner London,Camden,First language,Girls,Total,Total,English,11.0,459.0,25756.5,56.1,450.0,98.0,277.0,60.3,353.0,76.9,243.0,52.9,163.0,35.5,185.0,40.3,2347.19,5.11
202122,Local authority,Inner London,Camden,First language,Girls,Total,Total,Other than English,10.0,391.0,21267.75,54.4,385.0,98.5,237.0,60.6,311.0,79.5,233.0,59.6,122.0,31.2,162.0,41.4,1958.11,5.01
202122,Local authority,Inner London,Hackney,First language,Girls,Total,Total,English,19.0,738.0,39364.25,53.3,715.0,96.9,425.0,57.6,555.0,75.2,437.0,59.2,218.0,29.5,293.0,39.7,3511.66,4.76
202122,Local authority,Inner London,Hackney,First language,Girls,Total,Total,Other than English,19.0,542.0,29571.5,54.6,536.0,98.9,314.0,57.9,404.0,74.5,387.0,71.4,199.0,36.7,270.0,49.8,2745.37,5.07
202122,Local authority,Inner London,Hammersmith and Fulham,First language,Girls,Total,Total,English,12.0,492.0,29227.25,59.4,475.0,96.5,336.0,68.3,401.0,81.5,355.0,72.2,215.0,43.7,272.0,55.3,2724.78,5.54
202122,Local authority,Inner London,Hammersmith and Fulham,First language,Girls,Total,Total,Other than English,10.0,235.0,14243.75,60.6,230.0,97.9,174.0,74.0,204.0,86.8,178.0,75.7,107.0,45.5,133.0,56.6,1346.52,5.73
202122,Local authority,Inner London,Haringey,First language,Girls,Total,Total,English,15.0,724.0,39872.0,55.1,706.0,97.5,430.0,59.4,561.0,77.5,350.0,48.3,182.0,25.1,251.0,34.7,3517.83,4.86
202122,Local authority,Inner London,Haringey,First language,Girls,Total,Total,Other than English,14.0,518.0,25651.0,49.5,505.0,97.5,256.0,49.4,343.0,66.2,260.0,50.2,115.0,22.2,154.0,29.7,2302.39,4.44
202122,Local authority,Inner London,Islington,First language,Girls,Total,Total,English,12.0,364.0,16595.25,45.6,346.0,95.1,158.0,43.4,225.0,61.8,187.0,51.4,58.0,15.9,80.0,22.0,1418.67,3.9
202122,Local authority,Inner London,Islington,First language,Girls,Total,Total,Other than English,10.0,305.0,17156.25,56.3,295.0,96.7,211.0,69.2,254.0,83.3,230.0,75.4,72.0,23.6,97.0,31.8,1496.7,4.91
202122,Local authority,Inner London,Kensington and Chelsea,First language,Girls,Total,Total,English,6.0,172.0,8761.25,50.9,166.0,96.5,100.0,58.1,136.0,79.1,71.0,41.3,16.0,9.3,26.0,15.1,759.87,4.42
202122,Local authority,Inner London,Kensington and Chelsea,First language,Girls,Total,Total,Other than English,6.0,208.0,11626.5,55.9,205.0,98.6,143.0,68.8,168.0,80.8,127.0,61.1,42.0,20.2,54.0,26.0,1056.29,5.08
202122,Local authority,Inner London,Lambeth,First language,Girls,Total,Total,English,20.0,655.0,30880.25,47.1,627.0,95.7,321.0,49.0,436.0,66.6,381.0,58.2,170.0,26.0,241.0,36.8,2773.12,4.23
202122,Local authority,Inner London,Lambeth,First language,Girls,Total,Total,Other than English,17.0,462.0,23298.0,50.4,452.0,97.8,253.0,54.8,328.0,71.0,322.0,69.7,146.0,31.6,192.0,41.6,2163.66,4.68
202122,Local authority,Inner London,Lewisham,First language,Girls,Total,Total,English,17.0,773.0,39238.0,50.8,748.0,96.8,385.0,49.8,547.0,70.8,478.0,61.8,210.0,27.2,308.0,39.8,3552.42,4.6
202122,Local authority,Inner London,Lewisham,First language,Girls,Total,Total,Other than English,14.0,327.0,16895.75,51.7,321.0,98.2,172.0,52.6,240.0,73.4,197.0,60.2,93.0,28.4,136.0,41.6,1544.89,4.72
